id,x,y
Deir Al-Balah,34.36769796301208,31.419463258730303
Gaza,34.441309696486044,31.488962051381606
Gaza ash Shamaliyah,34.5024668373816,31.544128717012114
Khan Yunis,34.31498932194772,31.335717851085057
Rafah,34.27528234691399,31.278484537637382
Bethlehem,35.33649415334059,31.628147703715005
Hebron,35.10257410854424,31.49014392883481
Jenin,35.266895037071066,32.426898422169366
Jericho,35.47814312333651,31.973385226015647
Jerusalem,35.29187579463277,31.800400520140045
Nablus,35.3087746411102,32.18375062210887
Qalqilya,35.06723011798497,32.19135589120477
Ramallah and Al-Bireh,35.19567525802174,31.953444667942826
Salfit,35.125036026589825,32.10773037998959
Tubas,35.4723869577708,32.30958448682138
Tulkarm,35.08956571000664,32.31603412365752
