Year,Housing Units,People Left Homeless,Minors Left Homeless,District
2021,3,5,1,Bethlehem
2021,7,18,12,Hebron
2021,3,6,4,Jenin
2021,16,78,33,Jericho
2021,6,20,12,Nablus
2021,1,0,0,Qalqiliya
2021,41,80,45,Tubas
2020,17,104,54,Bethlehem
2020,35,182,94,Hebron
2020,6,7,2,Jenin
2020,36,117,62,Jericho
2020,4,13,8,Nablus
2020,12,41,14,Ramallah and al-Bira
2020,1,0,0,Salfit
2020,20,97,52,Tubas
2019,12,49,20,Bethlehem
2019,50,184,77,Hebron
2019,2,0,0,Jenin
2019,11,33,22,Jericho
2019,8,19,5,Nablus
2019,1,0,0,Qalqiliya
2019,11,29,20,Ramallah and al-Bira
2019,12,30,11,Tubas
2019,1,6,4,Salfit
2018,7,36,18,Bethlehem
2018,20,63,29,Hebron
2018,11,32,6,Jenin
2018,12,35,18,Jericho
2018,2,8,3,Nablus
2018,12,15,6,Ramallah and al-Bira
2018,8,18,4,Tubas
2018,2,3,0,Tulkarm
